id,key,value,type
151492217,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151492217,gnis:ST_alpha,CO,regular
151492217,gnis:County_num,123,regular
151500657,ele,1952,regular
151500657,name,Burning Tree Ranch,regular
151500657,is_in,"Douglas,Colorado,Colo.,CO,USA",regular
151500657,place,hamlet,regular
151500657,id,2085620,gnis
151500657,gnis:Class,Populated Place,regular
151500657,gnis:County,Douglas,regular
151500657,gnis:ST_num,08,regular
151500657,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151500657,gnis:ST_alpha,CO,regular
151500657,gnis:County_num,035,regular
151517651,ele,1707,regular
151517651,name,Altona,regular
151517651,is_in,"Boulder,Colorado,Colo.,CO,USA",regular
151517651,place,hamlet,regular
151517651,id,178293,gnis
151517651,wikidata,Q4736927,regular
151517651,gnis:Class,Populated Place,regular
151517651,gnis:County,Boulder,regular
151517651,gnis:ST_num,08,regular
151517651,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151517651,gnis:ST_alpha,CO,regular
151517651,gnis:County_num,013,regular
151537751,ele,2000,regular
151537751,name,Ferndale,regular
151537751,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151537751,place,hamlet,regular
151537751,id,183306,gnis
151537751,gnis:Class,Populated Place,regular
151537751,gnis:County,Jefferson,regular
151537751,gnis:ST_num,08,regular
151537751,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151537751,gnis:ST_alpha,CO,regular
151537751,gnis:County_num,059,regular
151563585,ele,1730,regular
151563585,name,Leyden Junction,regular
151563585,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151563585,place,hamlet,regular
151563585,id,181656,gnis
151563585,gnis:Class,Populated Place,regular
151563585,gnis:County,Jefferson,regular
151563585,gnis:ST_num,08,regular
151563585,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151563585,gnis:ST_alpha,CO,regular
151563585,gnis:County_num,059,regular
151570833,ele,1859,regular
151570833,name,South Platte,regular
151570833,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151570833,place,hamlet,regular
151570833,id,183336,gnis
151570833,gnis:Class,Populated Place,regular
151570833,gnis:County,Jefferson,regular
151570833,gnis:ST_num,08,regular
151570833,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151570833,gnis:ST_alpha,CO,regular
151570833,gnis:County_num,059,regular
151607673,ele,2070,regular
151607673,name,Plainview,regular
151607673,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151607673,place,hamlet,regular
151607673,id,181175,gnis
151607673,gnis:Class,Populated Place,regular
151607673,gnis:County,Jefferson,regular
151607673,gnis:ST_num,08,regular
151607673,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151607673,gnis:ST_alpha,CO,regular
151607673,gnis:County_num,059,regular
151630964,ele,1658,regular
151630964,name,Semper,regular
151630964,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151630964,place,hamlet,regular
